날짜,계란,평균
2019-01-01,4439,4439
2019-02-01,4131,4131
2019-03-01,3806,3806
2019-04-01,4513,4513
2019-05-01,4761,4761
2019-06-01,4579,4579
2019-07-01,4383,4383
2019-08-01,4281,4281
2019-09-01,4578,4578
2019-10-01,4999,4999
2019-11-01,5218,5218
2019-12-01,5370,5370
2020-01-01,5070,5070
2020-02-01,5062,5062
2020-03-01,5359,5359
2020-04-01,5303,5303
2020-05-01,5132,5132
2020-06-01,4818,4818
2020-07-01,4781,4781
2020-08-01,4808,4808
2020-09-01,5195,5195
2020-10-01,5238,5238
2020-11-01,5184,5184
2020-12-01,5311,5311
2021-01-01,7124,7124
2021-02-01,8542,8542
2021-03-01,8032,8032
2021-04-01,8001,8001
2021-05-01,8813,8813
2021-06-01,9204,9204
2021-07-01,9104,9104
2021-08-01,8340,8340
2021-09-01,7697,7697
2021-10-01,7172,7172
2021-11-01,7035,7035
2021-12-01,7229,7229
2022-01-01,7056,7056
2022-02-01,6979,6979
2022-03-01,7157,7157
2022-04-01,7523,7523
2022-05-01,7789,7789
2022-06-01,7763,7763
2022-07-01,7807,7807
2022-08-01,7324,7324
2022-09-01,7408,7408
2022-10-01,7391,7391
2022-11-01,7565,7565
2022-12-01,7557,7557
2023-01-01,7197,7197
2023-02-01,7001,7001
2023-03-01,6856,6856
