날짜,CJ제일제당_밀가루_1kg_가격,대한제분_밀가루_1kg_가격,평균_가격
2019.01,1484,1410,1409
2019.02,1480,1423,1413
2019.03,1483,1436,1417
2019.04,1494,1448,1430
2019.05,1503,1439,1427
2019.06,1500,1428,1429
2019.07,1502,1442,1431
2019.08,1508,1424,1425
2019.09,1490,1419,1418
2019.1,1489,1430,1424
2019.11,1496,1427,1424
2019.12,1506,1433,1426
2020.01,1456,1396,1426
2020.02,1493,1431,1462
2020.03,1490,1419,1454
2020.04,1491,1408,1449
2020.05,1496,1415,1456
2020.06,1506,1408,1457
2020.07,1496,1419,1458
2020.08,1522,1409,1466
2020.09,1516,1362,1439
2020.1,1505,1397,1451
2020.11,1516,1416,1466
2020.12,1522,1402,1462
2021.01,1522,1397,1459
2021.02,1520,1389,1454
2021.03,1528,1415,1472
2021.04,1522,1405,1464
2021.05,1538,1376,1457
2021.06,1540,1410,1475
2021.07,1545,1426,1485
2021.08,1546,1460,1503
2021.09,1461,1403,1432
2021.1,1528,1437,1482
2021.11,1537,1439,1488
2021.12,1676,1546,1611
2022.01,1689,1599,1644
2022.02,1740,1653,1696
2022.03,1741,1682,1711
2022.04,1773,1720,1746
2022.05,2022,1882,1952
2022.06,2125,2028,2077
2022.07,2152,2048,2100
2022.08,2175,2063,2119
2022.09,2154,2050,2102
2022.1,2147,2071,2109
2022.11,2150,2080,2115
2022.12,2148,2082,2115
2023.01,2101,1979,2040
2023.02,2132,2091,2112
2023.03,2150,2091,2121
